Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
Afghanistan,March,500,000,India,AFG,India,Other,https://www.thehindu.com/news/international/indias-donation-of-covid-19-vaccines-to-afghanistan-lauded/article34148051.ece,AstraZeneca,
Colombia,March,117,000,Global,COL,COVAX/Global,COVAX,https://www.paho.org/en/news/1-3-2021-colombia-receives-first-vaccines-arriving-americas-through-covax,Pfizer/BioNTech,
Colombia,February,1,600,000,Procured,COL,Procured,Other,https://www.aa.com.tr/en/americas/colombia-s-first-shipment-of-covid-19-vaccines-arrive/2146126,Pfizer/BioNTech,
Colombia,February,2,472,964,Procured,COL,Procured,Other,https://www.aa.com.tr/en/americas/colombia-s-first-shipment-of-covid-19-vaccines-arrive/2146126,Sinovac,
DRC,April,271,000,Global,COD,COVAX/Global,COVAX,,AstraZeneca,
Mozambique,February,200,000,China,MOZ,China,Other,https://www.bloomberg.com/news/articles/2021-02-24/mozambique-receives-first-vaccines-from-china-after-covax-delay,Sinopharm,
Myanmar,February,2,000,000,Procured,MMR,Procured,Other,https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html,AstraZeneca,
Nigeria,,3,924,000,Global,NGA,COVAX/Global,COVAX,,AstraZeneca,
oPt,February,20,000,UAE,PSE,UAE,Other,https://www.middleeastmonitor.com/20210413-a-second-wave-of-covid-19-has-hit-the-gaza-strip-with-devastating-effect/,Sputnik V,
oPt,February,10,000,Russia,PSE,Russia,Other,https://www.reuters.com/article/us-health-coronavirus-palestinians-vacci-idUSKBN2A40PZ,Sputnik V,
oPt,March,2,000,Israel,PSE,Israel,Other,https://www.bbc.com/news/55800921,Pfizer/BioNTech,
Pakistan,February,1,000,000,Procured,PAK,Procured,Other,https://foreignpolicy.com/2021/02/25/pakistan-covid-vaccines-obstacles-covax/,Sinopharm,
Sudan,March,828,000,Global,SDN,COVAX/Global,COVAX,,AstraZeneca,
Ukraine,February,500,000,Procured,UKR,Procured,Other,https://www.france24.com/en/live-news/20210223-ukraine-receives-first-covid-19-vaccine-doses,AstraZeneca,
Venezuela,February,100,000,Procured,VEN,Procured,Other,https://www.telesurenglish.net/news/Venezuela-Set-to-Receive-100000-Doses-of-Russian-Sputnik-V-20210210-0007.html,Sputnik V,
Zimbabwe,February,400,000,China,ZWE,China,Other,https://www.reuters.com/article/health-coronavirus-zimbabwe-vaccine/update-1-zimbabwe-to-buy-12-mln-more-covid-19-vaccine-doses-from-china-idUSL1N2KU20B,Sinopharm,
Mali,March,296,000,Global,MLI,COVAX/Global,COVAX,https://www.aa.com.tr/en/africa/covid-19-vaccines-arrive-in-uganda-mali/2166061,AstraZeneca,
Ethiopia,March,2,184,000,Global,ETH,COVAX/Global,COVAX,https://www.afro.who.int/news/22-million-covid-19-vaccines-allocated-covax-facility-arrive-ethiopia-marking-start-countrys,AstraZeneca,
Afghanistan,March,468,000,Global,AFG,COVAX/Global,COVAX,https://reliefweb.int/report/afghanistan/covid-19-vaccines-shipped-covax-arrive-afghanistan,AstraZeneca,
Mozambique,March,384,000,Global,MOZ,COVAX/Global,COVAX,https://eeas.europa.eu/headquarters/headquarters-homepage/94441/mozambique-receives-first-covax-covid-19-vaccines_en,AstraZeneca,
Somalia,March,300,000,Global,SOM,COVAX/Global,COVAX,https://reliefweb.int/report/somalia/covid-19-vaccines-arrival-and-rollout-somalia-300000-doses-oxford-astrazeneca-vaccine,AstraZeneca,
Zimbabwe,March,75,000,Russia,ZWE,Russia,Other,https://www.reuters.com/article/health-coronavirus-zimbabwe-vaccine/update-1-zimbabwe-to-buy-12-mln-more-covid-19-vaccine-doses-from-china-idUSL1N2KU20B,Sputnik V,
DRC,Mach,50,000,India,COD,India,Other,https://twitter.com/IndiainDRC/status/1367869530798718976?s=20,AstraZeneca,
Venezuela,March,500,000,China,VEN,China,Other,https://www.reuters.com/article/health-coronavirus-venezuela-idUSL2N2L019T,Sinopharm,
Mozambique,March,100,000,India,MOZ,India,Other,https://www.mea.gov.in/vaccine-supply.htm,AstraZeneca,
oPt,March,24,000,Global,PSE,COVAX/Global,COVAX,https://www.unicef.org/press-releases/arrival-first-wave-consignment-covax-covid-19-vaccine-doses-state-palestine,AstraZeneca,
oPt,March,37,440,Global,PSE,COVAX/Global,COVAX,https://www.unicef.org/press-releases/arrival-first-wave-consignment-covax-covid-19-vaccine-doses-state-palestine,Pfizer/BioNTech,
Zimbabwe,March ,144,000,Procured,ZWE,Procured,Other,https://www.southerntimesafrica.com/2021/03/1206/,Sinopharm,
Niger,March,400,000,China,NER,China,Other,https://www.reuters.com/article/us-health-coronavirus-niger-idUSKBN2BD0UE,Sinopharm,
South Sudan,March,60,000,Global,SSD,COVAX/Global,COVAX,https://www.bloomberg.com/news/articles/2021-03-25/south-sudan-receives-132-000-astrazeneca-doses-from-covax,AstraZeneca,
Iraq,March,336,000,Global,IRQ,COVAX/Global,COVAX,https://reliefweb.int/report/iraq/iraq-receives-first-delivery-covid-19-vaccines-through-covax-facility-enarku,AstraZeneca,
Yemen,March,360,000,Global,YEM,COVAX/Global,COVAX,https://www.unicef.org/press-releases/yemen-receives-360000-covid-19-vaccine-doses-through-covax-facility,AstraZeneca,
Colombia,March,244,800,Global,COL,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/colombia,AstraZeneca,
Colombia,March,400,242,Procured,COL,Procured,Other,,Pfizer/BioNTech,
Libya,April,101,252,UAE,LBY,UAE,Other,http://www.xinhuanet.com/english/africa/2021-04/05/c_139858648.htm,Sputnik V,
Venezuela,April,180,000,Procured,VEN,Procured,Other,https://www.reuters.com/article/us-health-coronavirus-venezuela-protest-idUSKBN2BT2UN,Sputnik V,
Libya,April ,57,600,Global,LBY,COVAX/Global,COVAX,https://reliefweb.int/report/libya/57600-covid-19-vaccine-doses-received-today-tripoli,AstraZeneca,
oPt,April,20,000,UAE,PSE,UAE,Other,,Sputnik V,
Libya,April,100,000,Procured,LBY,Procured,Other,https://www.libyaherald.com/2021/04/13/libyas-drug-control-centre-approves-sputnik-v-and-astrazeneca-anti-coronavirus-vaccines-suitable-for-human-consumption/,Sputnik V,
Cameroon,April,200,000,China,CMR,China,Other,https://www.aa.com.tr/en/africa/cameroon-receives-1st-covid-19-vaccine-batch/2205731,Sinovac,
Niger,April,355,200,Global,NER,COVAX/Global,COVAX,https://reliefweb.int/report/niger/more-355000-doses-covid-19-vaccines-shipped-covax-arrive-niger,AstraZeneca,
Cameroon,April,391,200,Global,CMR,COVAX/Global,COVAX,https://twitter.com/EvaUNICEF/status/1383845464630456320,AstraZeneca,
Syria,April,256,800,Global,SYR,COVAX/Global,COVAX,https://www.unicef.org/syria/press-releases/syria-receives-its-first-batch-covid-19-vaccines-through-covax,AstraZeneca,
Colombia,April,549,900,Procured,COL,Procured,Other,http://thecitypaperbogota.com/news/colombia-gives-green-light-for-vaccine-roll-out-by-private-health-sector/27224,Pfizer/BioNTech,
Nigeria,April,100,000,India,NGA,India,Other,https://africa.cgtn.com/2021/04/16/over-1-million-doses-of-covid-19-vaccine-administered-in-nigeria/,AstraZeneca,
Nigeria,April,300,000,Private Sector,NGA,Private Sector,Other,https://africa.cgtn.com/2021/04/16/over-1-million-doses-of-covid-19-vaccine-administered-in-nigeria/,AstraZeneca,
Ethiopia,March,300,000,China,ETH,China,Other,https://www.globaltimes.cn/page/202103/1219909.shtml,Sinopharm,
Myanmar,February ,1,700,000,India,MMR,India,Other,https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html,AstraZeneca,
Niger,April,25,000,India,NER,India,Other,https://www.mea.gov.in/vaccine-supply.htm,AstraZeneca,
Zimbabwe,April,35,000,India,ZWE,India,Other,https://www.mea.gov.in/vaccine-supply.htm,AstraZeneca,
Pakistan,April,150,000,Russia,PAK,Russia,Other,https://edition.cnn.com/2021/04/12/asia/pakistan-covid-private-vaccines-dst-intl-hnk/index.html,Sputnik V,
Pakistan,April,1,560,000,China,PAK,China,Other,https://edition.cnn.com/2021/04/12/asia/pakistan-covid-private-vaccines-dst-intl-hnk/index.html,Sinopharm,
Zimbabwe,March,1,000,000,Procured,ZWE,Procured,Other,https://www.aa.com.tr/en/africa/zimbabwe-receives-1m-doses-of-chinese-sinovac-vaccine/2193310,Sinovac,
Ukraine,April,117,000,Global,UKR,COVAX/Global,COVAX,https://reliefweb.int/report/ukraine/first-covid-19-vaccines-shipped-covax-arrive-ukraine,Pfizer/BioNTech,
Ukraine,April,367,200,Global,UKR,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/ukraine,AstraZeneca,
Colombia,April,912,000,Global,COL,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/colombia,AstraZeneca,
Syria,April,150,000,China,SYR,China,Other,https://www.reuters.com/world/china/syria-gets-donation-150000-covid-shots-china-2021-04-24/,Sinopharm,
Pakistan,April,500,000,China,PAK,China,Other,https://www.khaleejtimes.com/coronavirus-pandemic/pakistan-covid-pia-airlifts-1-million-vaccine-doses-from-china,Sinovac,
Pakistan,April,1,000,000,Procured,PAK,Procured,Other,https://www.khaleejtimes.com/coronavirus-pandemic/pakistan-covid-pia-airlifts-1-million-vaccine-doses-from-china,Sinopharm,
Pakistan,April,500,000,China,PAK,China,Other,https://www.aljazeera.com/news/2021/4/1/pakistan-receives-another-large-covid-vaccine-shipment-from-china,Sinopharm,
Pakistan,April,600,000,China,PAK,China,Other,https://thediplomat.com/2021/04/pakistans-covid-19-vaccine-campaign-crawls-along/,Sinovac,
Pakistan,April,50,000,Procured,PAK,Procured,Other,https://edition.cnn.com/2021/04/12/asia/pakistan-covid-private-vaccines-dst-intl-hnk/index.html,Sputnik V,
Libya,April,100,000,Procured,LBY,Procured,Other,https://www.africanews.com/2021/04/18/libya-kickstarts-coronavirus-vaccine-drive/,Sputnik V,
Ukraine,March,1,400,000,Procured,UKR,Procured,Other,http://www.xinhuanet.com/english/europe/2021-03/26/c_139836505.htm,Sinovac,
Myanmar,May,500,000,China,MMR,China,Other,https://www.irrawaddy.com/news/burma/china-donates-500000-covid-19-vaccines-myanmar-junta.html,Sinopharm,
Pakistan,May,1,238,400,Global,PAK,COVAX/Global,COVAX,https://www.gavi.org/covax-vaccine-roll-out/pakistan,AstraZeneca,
Ukraine,May,122,850,Global,UKR,COVAX/Global,COVAX,https://www.ukrinform.net/rubric-society/3247488-over-122000-doses-of-pfizerbiontech-vaccine-delivered-to-ukraine-via-covax.html,Pfizer/BioNTech,
